season_id,team_id_home,team_id_away,team_name_home,team_name_away,team_abbreviation_home,team_abbreviation_away,game_date,pts_home,pts_away
22014,1610612764,1610612754,Washington Wizards,Indiana Pacers,WAS,IND,2014-11-05,96.0,94.0
22014,1610612759,1610612737,San Antonio Spurs,Atlanta Hawks,SAS,ATL,2014-11-05,94.0,92.0
22014,1610612749,1610612741,Milwaukee Bucks,Chicago Bulls,MIL,CHI,2014-11-05,86.0,95.0
22014,1610612738,1610612761,Boston Celtics,Toronto Raptors,BOS,TOR,2014-11-05,107.0,110.0
22014,1610612755,1610612753,Philadelphia 76ers,Orlando Magic,PHI,ORL,2014-11-05,89.0,91.0
22014,1610612762,1610612739,Utah Jazz,Cleveland Cavaliers,UTA,CLE,2014-11-05,102.0,100.0
22014,1610612758,1610612743,Sacramento Kings,Denver Nuggets,SAC,DEN,2014-11-05,131.0,109.0
22014,1610612751,1610612750,Brooklyn Nets,Minnesota Timberwolves,BKN,MIN,2014-11-05,91.0,98.0
22014,1610612765,1610612752,Detroit Pistons,New York Knicks,DET,NYK,2014-11-05,98.0,95.0
22014,1610612744,1610612746,Golden State Warriors,Los Angeles Clippers,GSW,LAC,2014-11-05,121.0,104.0
22014,1610612756,1610612763,Phoenix Suns,Memphis Grizzlies,PHX,MEM,2014-11-05,91.0,102.0
22014,1610612745,1610612759,Houston Rockets,San Antonio Spurs,HOU,SAS,2014-11-06,98.0,81.0
22014,1610612757,1610612742,Portland Trail Blazers,Dallas Mavericks,POR,DAL,2014-11-06,108.0,87.0
22014,1610612753,1610612750,Orlando Magic,Minnesota Timberwolves,ORL,MIN,2014-11-07,112.0,103.0
22014,1610612766,1610612737,Charlotte Hornets,Atlanta Hawks,CHA,ATL,2014-11-07,122.0,119.0
22014,1610612756,1610612758,Phoenix Suns,Sacramento Kings,PHX,SAC,2014-11-07,112.0,114.0
22014,1610612761,1610612764,Toronto Raptors,Washington Wizards,TOR,WAS,2014-11-07,103.0,84.0
22014,1610612738,1610612754,Boston Celtics,Indiana Pacers,BOS,IND,2014-11-07,101.0,98.0
22014,1610612762,1610612742,Utah Jazz,Dallas Mavericks,UTA,DAL,2014-11-07,82.0,105.0
22014,1610612743,1610612739,Denver Nuggets,Cleveland Cavaliers,DEN,CLE,2014-11-07,101.0,110.0
22014,1610612765,1610612749,Detroit Pistons,Milwaukee Bucks,DET,MIL,2014-11-07,98.0,95.0
22014,1610612760,1610612763,Oklahoma City Thunder,Memphis Grizzlies,OKC,MEM,2014-11-07,89.0,91.0
22014,1610612755,1610612741,Philadelphia 76ers,Chicago Bulls,PHI,CHI,2014-11-07,115.0,118.0
22014,1610612751,1610612752,Brooklyn Nets,New York Knicks,BKN,NYK,2014-11-07,110.0,99.0
22014,1610612741,1610612738,Chicago Bulls,Boston Celtics,CHI,BOS,2014-11-08,101.0,106.0
22014,1610612759,1610612740,San Antonio Spurs,New Orleans Pelicans,SAS,NOP,2014-11-08,99.0,100.0
22014,1610612749,1610612763,Milwaukee Bucks,Memphis Grizzlies,MIL,MEM,2014-11-08,93.0,92.0
22014,1610612737,1610612752,Atlanta Hawks,New York Knicks,ATL,NYK,2014-11-08,103.0,96.0
22014,1610612754,1610612764,Indiana Pacers,Washington Wizards,IND,WAS,2014-11-08,90.0,97.0
22014,1610612745,1610612744,Houston Rockets,Golden State Warriors,HOU,GSW,2014-11-08,87.0,98.0
22014,1610612748,1610612750,Miami Heat,Minnesota Timberwolves,MIA,MIN,2014-11-08,102.0,92.0
22014,1610612746,1610612757,Los Angeles Clippers,Portland Trail Blazers,LAC,POR,2014-11-08,106.0,102.0
22014,1610612760,1610612758,Oklahoma City Thunder,Sacramento Kings,OKC,SAC,2014-11-09,101.0,93.0
22014,1610612742,1610612748,Dallas Mavericks,Miami Heat,DAL,MIA,2014-11-09,96.0,105.0
22014,1610612756,1610612744,Phoenix Suns,Golden State Warriors,PHX,GSW,2014-11-09,107.0,95.0
22014,1610612747,1610612766,Los Angeles Lakers,Charlotte Hornets,LAL,CHA,2014-11-09,107.0,92.0
22014,1610612751,1610612753,Brooklyn Nets,Orlando Magic,BKN,ORL,2014-11-09,104.0,96.0
22014,1610612765,1610612762,Detroit Pistons,Utah Jazz,DET,UTA,2014-11-09,96.0,97.0
22014,1610612757,1610612743,Portland Trail Blazers,Denver Nuggets,POR,DEN,2014-11-09,116.0,100.0
22014,1610612761,1610612755,Toronto Raptors,Philadelphia 76ers,TOR,PHI,2014-11-09,120.0,88.0
22014,1610612739,1610612740,Cleveland Cavaliers,New Orleans Pelicans,CLE,NOP,2014-11-10,118.0,111.0
22014,1610612741,1610612765,Chicago Bulls,Detroit Pistons,CHI,DET,2014-11-10,102.0,91.0
22014,1610612746,1610612759,Los Angeles Clippers,San Antonio Spurs,LAC,SAS,2014-11-10,85.0,89.0
22014,1610612754,1610612762,Indiana Pacers,Utah Jazz,IND,UTA,2014-11-10,97.0,86.0
22014,1610612752,1610612737,New York Knicks,Atlanta Hawks,NYK,ATL,2014-11-10,85.0,91.0
22014,1610612744,1610612759,Golden State Warriors,San Antonio Spurs,GSW,SAS,2014-11-11,100.0,113.0
22014,1610612749,1610612760,Milwaukee Bucks,Oklahoma City Thunder,MIL,OKC,2014-11-11,85.0,78.0
22014,1610612761,1610612753,Toronto Raptors,Orlando Magic,TOR,ORL,2014-11-11,104.0,100.0
22014,1610612742,1610612758,Dallas Mavericks,Sacramento Kings,DAL,SAC,2014-11-11,106.0,98.0
22014,1610612757,1610612766,Portland Trail Blazers,Charlotte Hornets,POR,CHA,2014-11-11,102.0,100.0
22014,1610612763,1610612747,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL,2014-11-11,107.0,102.0
22014,1610612756,1610612751,Phoenix Suns,Brooklyn Nets,PHX,BKN,2014-11-12,112.0,104.0
22014,1610612743,1610612757,Denver Nuggets,Portland Trail Blazers,DEN,POR,2014-11-12,113.0,130.0
22014,1610612737,1610612762,Atlanta Hawks,Utah Jazz,ATL,UTA,2014-11-12,100.0,97.0
22014,1610612764,1610612765,Washington Wizards,Detroit Pistons,WAS,DET,2014-11-12,107.0,103.0
22014,1610612752,1610612753,New York Knicks,Orlando Magic,NYK,ORL,2014-11-12,95.0,97.0
22014,1610612750,1610612745,Minnesota Timberwolves,Houston Rockets,MIN,HOU,2014-11-12,101.0,113.0
22014,1610612748,1610612754,Miami Heat,Indiana Pacers,MIA,IND,2014-11-12,75.0,81.0
22014,1610612740,1610612747,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL,2014-11-12,109.0,102.0
22014,1610612738,1610612760,Boston Celtics,Oklahoma City Thunder,BOS,OKC,2014-11-12,94.0,109.0
22014,1610612763,1610612758,Memphis Grizzlies,Sacramento Kings,MEM,SAC,2014-11-13,111.0,110.0
22014,1610612742,1610612755,Dallas Mavericks,Philadelphia 76ers,DAL,PHI,2014-11-13,123.0,70.0
22014,1610612761,1610612741,Toronto Raptors,Chicago Bulls,TOR,CHI,2014-11-13,93.0,100.0
