season_id,team_id_home,team_id_away,team_name_home,team_name_away,team_abbreviation_home,team_abbreviation_away,game_date,pts_home,pts_away,elo_h,elo_a,elo_h_ofg,elo_a_ofg,elo_h_dfg,elo_a_dfg,elo_h_ofg3,elo_a_ofg3,elo_h_dfg3,elo_a_dfg3
22013,1610612747,1610612746,Los Angeles Lakers,Los Angeles Clippers,LAL,LAC,2013-10-29,116.0,103.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612754,1610612753,Indiana Pacers,Orlando Magic,IND,ORL,2013-10-29,97.0,87.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612748,1610612741,Miami Heat,Chicago Bulls,MIA,CHI,2013-10-29,107.0,95.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612740,1610612754,New Orleans Pelicans,Indiana Pacers,NOP,IND,2013-10-30,90.0,95.0,1500.0,1507.4111731787182,1500.0,1510.0,1500.0,1490.0,1500.0,1490.0,1500.0,1490.0
22013,1610612745,1610612766,Houston Rockets,Charlotte Bobcats,HOU,CHA,2013-10-30,96.0,83.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612744,1610612747,Golden State Warriors,Los Angeles Lakers,GSW,LAL,2013-10-30,125.0,94.0,1500.0,1508.7296224361528,1500.0,1490.0,1500.0,1510.0,1500.0,1510.0,1500.0,1510.0
22013,1610612755,1610612748,Philadelphia 76ers,Miami Heat,PHI,MIA,2013-10-30,114.0,110.0,1500.0,1508.296911874418,1500.0,1510.0,1500.0,1510.0,1500.0,1510.0,1500.0,1510.0
22013,1610612739,1610612751,Cleveland Cavaliers,Brooklyn Nets,CLE,BKN,2013-10-30,98.0,94.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612742,1610612737,Dallas Mavericks,Atlanta Hawks,DAL,ATL,2013-10-30,118.0,109.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612756,1610612757,Phoenix Suns,Portland Trail Blazers,PHX,POR,2013-10-30,104.0,91.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612761,1610612738,Toronto Raptors,Boston Celtics,TOR,BOS,2013-10-30,93.0,87.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612758,1610612743,Sacramento Kings,Denver Nuggets,SAC,DEN,2013-10-30,90.0,88.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612765,1610612764,Detroit Pistons,Washington Wizards,DET,WAS,2013-10-30,113.0,102.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612762,1610612760,Utah Jazz,Oklahoma City Thunder,UTA,OKC,2013-10-30,98.0,101.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612759,1610612763,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,2013-10-30,101.0,94.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612750,1610612753,Minnesota Timberwolves,Orlando Magic,MIN,ORL,2013-10-30,120.0,115.0,1500.0,1492.5888268212818,1500.0,1490.0,1500.0,1510.0,1500.0,1510.0,1500.0,1510.0
22013,1610612752,1610612749,New York Knicks,Milwaukee Bucks,NYK,MIL,2013-10-30,90.0,83.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22013,1610612741,1610612752,Chicago Bulls,New York Knicks,CHI,NYK,2013-10-31,82.0,81.0,1491.703088125582,1506.0223715701366,1490.0,1510.0,1490.0,1510.0,1490.0,1490.0,1490.0,1490.0
22013,1610612746,1610612744,Los Angeles Clippers,Golden State Warriors,LAC,GSW,2013-10-31,126.0,115.0,1491.2703775638472,1516.2397272645808,1510.0,1509.71225631668,1490.0,1510.28774368332,1490.0,1510.28774368332,1490.0,1510.28774368332
22013,1610612751,1610612748,Brooklyn Nets,Miami Heat,BKN,MIA,2013-11-01,101.0,100.0,1495.4617990703387,1503.6190702816048,1490.0,1499.71225631668,1490.0,1499.71225631668,1510.0,1519.71225631668,1510.0,1519.71225631668
22013,1610612745,1610612742,Houston Rockets,Dallas Mavericks,HOU,DAL,2013-11-01,113.0,105.0,1508.7296224361528,1506.957001414432,1510.0,1510.0,1510.0,1510.0,1490.0,1510.0,1510.0,1510.0
22013,1610612756,1610612762,Phoenix Suns,Utah Jazz,PHX,UTA,2013-11-01,87.0,84.0,1508.7296224361528,1492.8604185213283,1510.0,1510.0,1510.0,1510.0,1490.0,1490.0,1490.0,1490.0
22013,1610612758,1610612746,Sacramento Kings,Los Angeles Clippers,SAC,LAC,2013-11-01,101.0,110.0,1503.4727578326504,1499.864439409187,1490.0,1499.9917180729458,1490.0,1500.5832654286248,1510.0,1480.5832654286248,1510.0,1480.5832654286248
22013,1610612753,1610612740,Orlando Magic,New Orleans Pelicans,ORL,NOP,2013-11-01,110.0,90.0,1487.6799591652755,1491.1657267504663,1500.28774368332,1490.28774368332,1519.71225631668,1509.71225631668,1519.71225631668,1509.71225631668,1519.71225631668,1489.71225631668
22013,1610612747,1610612759,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,2013-11-01,85.0,91.0,1492.489895171572,1506.0223715701366,1480.28774368332,1510.0,1499.71225631668,1510.0,1499.71225631668,1510.0,1499.71225631668,1510.0
22013,1610612764,1610612755,Washington Wizards,Philadelphia 76ers,WAS,PHI,2013-11-01,102.0,109.0,1492.1423954748814,1504.6778415928131,1490.0,1510.28774368332,1490.0,1510.28774368332,1510.0,1490.28774368332,1510.0,1490.28774368332
22013,1610612750,1610612760,Minnesota Timberwolves,Oklahoma City Thunder,MIN,OKC,2013-11-01,100.0,81.0,1504.9088676560064,1507.1395814786717,1489.71225631668,1490.0,1490.28774368332,1490.0,1490.28774368332,1510.0,1490.28774368332,1510.0
22013,1610612763,1610612765,Memphis Grizzlies,Detroit Pistons,MEM,DET,2013-11-01,111.0,108.0,1493.9776284298634,1507.8576045251186,1490.0,1510.0,1490.0,1510.0,1490.0,1490.0,1490.0,1490.0
22013,1610612766,1610612739,Charlotte Bobcats,Cleveland Cavaliers,CHA,CLE,2013-11-01,90.0,84.0,1491.2703775638472,1504.5382009296613,1490.0,1510.0,1490.0,1510.0,1510.0,1490.0,1490.0,1490.0
22013,1610612743,1610612757,Denver Nuggets,Portland Trail Blazers,DEN,POR,2013-11-01,98.0,113.0,1496.5272421673496,1491.2703775638472,1510.0,1490.0,1510.0,1490.0,1490.0,1510.0,1490.0,1510.0
22013,1610612737,1610612761,Atlanta Hawks,Toronto Raptors,ATL,TOR,2013-11-01,102.0,95.0,1493.042998585568,1505.5399671952514,1490.0,1490.0,1490.0,1510.0,1490.0,1510.0,1490.0,1510.0
22013,1610612738,1610612749,Boston Celtics,Milwaukee Bucks,BOS,MIL,2013-11-01,98.0,105.0,1494.4600328047486,1493.9776284298634,1510.0,1490.0,1490.0,1490.0,1490.0,1510.0,1490.0,1510.0
22013,1610612754,1610612739,Indiana Pacers,Cleveland Cavaliers,IND,CLE,2013-11-02,89.0,74.0,1516.2454464282519,1498.7246159941478,1519.71225631668,1499.4249887221547,1480.28774368332,1499.4249887221547,1480.28774368332,1480.5750112778453,1500.28774368332,1500.0
22013,1610612762,1610612745,Utah Jazz,Houston Rockets,UTA,HOU,2013-11-02,93.0,104.0,1489.077163217005,1515.1816267091822,1500.0,1520.0,1500.0,1500.0,1500.0,1500.5750112778453,1480.0,1520.0
22013,1610612749,1610612761,Milwaukee Bucks,Toronto Raptors,MIL,TOR,2013-11-02,90.0,97.0,1504.6977879310623,1499.2375936946673,1480.5750112778453,1480.0,1500.0,1519.4249887221547,1519.4249887221547,1499.4249887221547,1519.4249887221547,1499.4249887221547
22013,1610612740,1610612766,New Orleans Pelicans,Charlotte Bobcats,NOP,CHA,2013-11-02,105.0,84.0,1479.4102840892886,1497.0839624993607,1480.5754873666401,1500.5750112778453,1500.0,1500.5750112778453,1500.0,1519.4249887221547,1480.5735861571243,1480.0
22013,1610612742,1610612763,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,2013-11-02,111.0,99.0,1500.5049971414026,1498.2000470408,1500.0,1500.5750112778453,1520.0,1480.5750112778453,1499.4249887221547,1480.0,1500.0,1480.0
22013,1610612757,1610612759,Portland Trail Blazers,San Antonio Spurs,POR,SAS,2013-11-02,115.0,105.0,1508.485691522511,1515.5948509232603,1500.5750112778453,1519.146891230344,1500.5750112778453,1519.7039814439618,1519.4249887221547,1499.7039814439618,1519.4249887221547,1499.7039814439618
22013,1610612744,1610612758,Golden State Warriors,Sacramento Kings,GSW,SAC,2013-11-02,98.0,87.0,1507.645665419241,1491.009044532853,1519.7205382437342,1480.2875055074987,1499.7044782546952,1500.3045166862082,1519.7044782546952,1499.155335735892,1519.7044782546952,1499.155335735892
22013,1610612755,1610612741,Philadelphia 76ers,Chicago Bulls,PHI,CHI,2013-11-02,107.0,104.0,1515.1064288696123,1494.7655045369302,1519.7044782546952,1500.5750112778453,1519.7044782546952,1500.5750112778453,1480.85450002419,1480.0,1480.85450002419,1480.0
22013,1610612765,1610612738,Detroit Pistons,Boston Celtics,DET,BOS,2013-11-03,87.0,77.0,1503.635185914182,1483.7398733035498,1499.4249887221547,1519.4249887221547,1519.4249887221547,1480.0,1500.0,1480.5750112778453,1500.0,1480.5750112778453
22013,1610612747,1610612737,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,2013-11-03,105.0,103.0,1482.9174158184483,1499.345372086152,1471.140852452976,1500.0,1490.0082748727182,1480.5750112778453,1510.0082748727182,1500.5750112778453,1510.0082748727182,1500.5750112778453
22013,1610612748,1610612764,Miami Heat,Washington Wizards,MIA,WAS,2013-11-03,103.0,93.0,1500.6238022948444,1481.7138081980822,1489.43278790048,1480.5832654286248,1489.43278790048,1480.5832654286248,1509.43278790048,1519.43324365913,1509.43278790048,1519.43324365913
22013,1610612752,1610612750,New York Knicks,Minnesota Timberwolves,NYK,MIN,2013-11-03,100.0,109.0,1502.9599551587885,1516.210484859394,1499.4249887221547,1499.7205382437342,1499.4249887221547,1500.2794617562658,1500.0,1500.85450002419,1500.0,1500.85450002419
