team_id_home,team_id_away,team_name_home,team_name_away,team_abbreviation_home,team_abbreviation_away,game_date,pts_home,pts_away,elo_h,elo_a,elo_h_ofg,elo_a_ofg,elo_h_dfg,elo_a_dfg,elo_h_ofg3,elo_a_ofg3,elo_h_dfg3,elo_a_dfg3
1610612766,1610612739,Charlotte Bobcats,Cleveland Cavaliers,CHA,CLE,2013-11-01,90.0,84.0,1487.8733348641115,1506.3041951007488,1490.0,1510.0,1490.0,1510.0,1510.0,1490.0,1490.0,1490.0
1610612743,1610612757,Denver Nuggets,Portland Trail Blazers,DEN,POR,2013-11-01,98.0,113.0,1495.175854208748,1487.8733348641115,1510.0,1490.0,1510.0,1490.0,1490.0,1510.0,1490.0,1510.0
1610612737,1610612761,Atlanta Hawks,Toronto Raptors,ATL,TOR,2013-11-01,102.0,95.0,1490.335753107336,1507.695788395429,1490.0,1490.0,1490.0,1510.0,1490.0,1510.0,1490.0,1510.0
1610612738,1610612749,Boston Celtics,Milwaukee Bucks,BOS,MIL,2013-11-01,98.0,105.0,1492.304211604571,1491.6340845335428,1510.0,1490.0,1490.0,1490.0,1490.0,1510.0,1490.0,1510.0
1610612754,1610612739,Indiana Pacers,Cleveland Cavaliers,IND,CLE,2013-11-02,89.0,74.0,1517.096854291413,1498.2005408900839,1519.71225631668,1499.4249887221547,1480.28774368332,1499.4249887221547,1480.28774368332,1480.5750112778453,1500.28774368332,1500.0
1610612762,1610612745,Utah Jazz,Houston Rockets,UTA,HOU,2013-11-02,93.0,104.0,1489.1294840131186,1521.0842993975398,1500.0,1520.0,1500.0,1500.0,1500.0,1500.5750112778453,1480.0,1520.0
1610612749,1610612761,Milwaukee Bucks,Toronto Raptors,MIL,TOR,2013-11-02,90.0,97.0,1500.0161359967415,1498.912207465887,1480.5750112778453,1480.0,1500.0,1519.4249887221547,1519.4249887221547,1499.4249887221547,1519.4249887221547,1499.4249887221547
1610612740,1610612766,New Orleans Pelicans,Charlotte Bobcats,NOP,CHA,2013-11-02,105.0,84.0,1476.598395586592,1495.9769890747764,1480.5754873666401,1500.5750112778453,1500.0,1500.5750112778453,1500.0,1519.4249887221547,1480.5735861571243,1480.0
1610612742,1610612763,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,2013-11-02,111.0,99.0,1500.7066126310128,1497.5205118657834,1500.0,1500.5750112778453,1520.0,1480.5750112778453,1499.4249887221547,1480.0,1500.0,1480.0
1610612757,1610612759,Portland Trail Blazers,San Antonio Spurs,POR,SAS,2013-11-02,115.0,105.0,1501.4567337787992,1515.6445097874491,1500.5750112778453,1519.146891230344,1500.5750112778453,1519.7039814439618,1519.4249887221547,1499.7039814439618,1519.4249887221547,1499.7039814439618
1610612744,1610612758,Golden State Warriors,Sacramento Kings,GSW,SAC,2013-11-02,98.0,87.0,1510.6108327365723,1495.0222837083572,1519.7205382437342,1480.2875055074987,1499.7044782546952,1500.3045166862082,1519.7044782546952,1499.155335735892,1519.7044782546952,1499.155335735892
1610612755,1610612741,Philadelphia 76ers,Chicago Bulls,PHI,CHI,2013-11-02,107.0,104.0,1514.4598532345847,1492.744081579511,1519.7044782546952,1500.5750112778453,1519.7044782546952,1500.5750112778453,1480.85450002419,1480.0,1480.85450002419,1480.0
1610612765,1610612738,Detroit Pistons,Boston Celtics,DET,BOS,2013-11-03,87.0,77.0,1505.028883099942,1483.9221601413724,1499.4249887221547,1519.4249887221547,1519.4249887221547,1480.0,1500.0,1480.5750112778453,1500.0,1480.5750112778453
1610612747,1610612737,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,2013-11-03,105.0,103.0,1482.2341118190134,1499.119334036878,1471.140852452976,1500.0,1490.0082748727182,1480.5750112778453,1510.0082748727182,1500.5750112778453,1510.0082748727182,1500.5750112778453
1610612748,1610612764,Miami Heat,Washington Wizards,MIA,WAS,2013-11-03,103.0,93.0,1500.8421411465768,1481.138085433691,1489.43278790048,1480.5832654286248,1489.43278790048,1480.5832654286248,1509.43278790048,1519.43324365913,1509.43278790048,1519.43324365913
1610612752,1610612750,New York Knicks,Minnesota Timberwolves,NYK,MIN,2013-11-03,100.0,109.0,1504.0962641731448,1522.3181359363002,1499.4249887221547,1499.7205382437342,1499.4249887221547,1500.2794617562658,1500.0,1500.85450002419,1500.0,1500.85450002419
