season_id,team_id_home,team_id_away,team_name_home,team_name_away,team_abbreviation_home,team_abbreviation_away,game_date,pts_home,pts_away,elo_h,elo_a,elo_h_ofg,elo_a_ofg,elo_h_dfg,elo_a_dfg,elo_h_ofg3,elo_a_ofg3,elo_h_dfg3,elo_a_dfg3
22014,1610612755,1610612748,Philadelphia 76ers,Miami Heat,PHI,MIA,2014-11-01,96.0,114.0,1477.1711410607106,1511.5255697138014,1480.5750112778453,1510.0,1480.0,1510.0,1480.5750112778453,1510.0,1480.5750112778453,1510.0
22014,1610612762,1610612756,Utah Jazz,Phoenix Suns,UTA,PHX,2014-11-01,118.0,91.0,1474.8185703983652,1522.2057114906431,1480.2794617562658,1499.7205382437342,1480.85450002419,1519.14549997581,1500.2794617562658,1499.7205382437342,1500.2794617562658,1499.7205382437342
22014,1610612765,1610612751,Detroit Pistons,Brooklyn Nets,DET,BKN,2014-11-01,90.0,102.0,1482.097453589226,1486.1190904374162,1499.4249887221547,1490.0,1519.4249887221547,1490.0,1480.5750112778453,1510.0,1500.5750112778453,1490.0
22014,1610612737,1610612754,Atlanta Hawks,Indiana Pacers,ATL,IND,2014-11-01,102.0,92.0,1491.6340845335428,1502.3684280285177,1510.0,1520.0,1510.0,1500.0,1510.0,1519.4249887221547,1510.0,1519.4249887221547
22014,1610612740,1610612742,New Orleans Pelicans,Dallas Mavericks,NOP,DAL,2014-11-01,104.0,109.0,1514.45094111163,1510.698846776278,1510.0,1500.0082819270542,1510.0,1519.43324365913,1490.0,1480.0082819270542,1490.0,1480.0082819270542
22014,1610612753,1610612761,Orlando Magic,Toronto Raptors,ORL,TOR,2014-11-01,95.0,108.0,1477.2535818931399,1508.3659154664572,1500.0,1490.0,1480.0,1490.0,1499.4249887221547,1490.0,1499.4249887221547,1490.0
22014,1610612766,1610612763,Charlotte Hornets,Memphis Grizzlies,CHA,MEM,2014-11-01,69.0,71.0,1504.824145791252,1515.4613367860325,1490.0,1500.0,1510.0,1520.0,1490.0,1480.5750112778453,1490.0,1480.5750112778453
22014,1610612744,1610612747,Golden State Warriors,Los Angeles Lakers,GSW,LAL,2014-11-01,127.0,104.0,1515.0142945592356,1462.0524161754433,1510.0,1490.5589364493228,1510.0,1491.1326302204052,1510.0,1470.5589364493228,1510.0,1471.1326302204052
22014,1610612750,1610612741,Minnesota Timberwolves,Chicago Bulls,MIN,CHI,2014-11-01,105.0,106.0,1501.3031963866927,1510.0084477412731,1500.5750112778453,1519.4167345713752,1480.5750112778453,1519.4167345713752,1519.4249887221547,1519.4167345713752,1499.4249887221547,1519.9917180729458
22014,1610612764,1610612749,Washington Wizards,Milwaukee Bucks,WAS,MIL,2014-11-01,108.0,97.0,1496.7699072814287,1506.479143434236,1480.0,1519.4249887221547,1500.0,1500.0,1500.5750112778453,1519.4249887221547,1500.5750112778453,1519.4249887221547
22014,1610612745,1610612738,Houston Rockets,Boston Celtics,HOU,BOS,2014-11-01,104.0,90.0,1525.4581974844848,1513.8809095625838,1519.71225631668,1510.0,1519.71225631668,1510.0,1519.71225631668,1490.0,1519.71225631668,1510.0
22014,1610612757,1610612744,Portland Trail Blazers,Golden State Warriors,POR,GSW,2014-11-02,90.0,95.0,1503.969050357475,1530.072397760434,1499.4249887221547,1519.4410244845772,1499.4249887221547,1519.457486630052,1499.4249887221547,1518.869646358045,1519.4249887221547,1518.8859506437243
22014,1610612752,1610612766,New York Knicks,Charlotte Hornets,NYK,CHA,2014-11-02,96.0,93.0,1489.1062765558456,1500.1476513480497,1500.28774368332,1480.28774368332,1500.28774368332,1500.28774368332,1500.28774368332,1499.7287935411387,1480.28774368332,1499.7287935411387
22014,1610612748,1610612761,Miami Heat,Toronto Raptors,MIA,TOR,2014-11-02,107.0,102.0,1525.0600705473482,1519.409549369537,1499.1550998577957,1480.28774368332,1519.1386701595557,1479.71225631668,1519.1550998577957,1480.2712064588613,1519.1550998577957,1480.2712064588613
22014,1610612746,1610612758,Los Angeles Clippers,Sacramento Kings,LAC,SAC,2014-11-02,92.0,98.0,1512.8526548443783,1495.4675961949195,1479.4410635506772,1500.5750112778453,1498.8673697795948,1500.5750112778453,1499.4410635506772,1500.5750112778453,1518.8673697795948,1480.5750112778453
22014,1610612743,1610612758,Denver Nuggets,Sacramento Kings,DEN,SAC,2014-11-03,105.0,110.0,1498.4368234028357,1503.5481470794791,1480.2960185560382,1509.9674764924391,1479.7205315838,1510.5258618003886,1499.7205315838,1510.5423737545718,1519.146891230344,1471.6727128849022
22014,1610612742,1610612738,Dallas Mavericks,Boston Celtics,DAL,BOS,2014-11-03,118.0,113.0,1517.78387862094,1501.5853546093092,1510.295787434553,1500.2794684162,1529.1617997789954,1520.2794684162,1470.295787434553,1480.853108769656,1470.295787434553,1500.2794684162
